epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,13383,0.85339,1.09516,1.26866,0.7292,0.67582,0.71654,0.59973,1.55004,1.64585,2.00727,0.005842,0.005842,0.005842
44,13690.8,0.84356,1.07375,1.25997,0.84496,0.6689,0.78842,0.67355,1.52395,1.56232,1.97574,0.005743,0.005743,0.005743
45,13999.3,0.8314,1.0774,1.25536,0.78063,0.69896,0.76056,0.64818,1.52385,1.55647,1.97722,0.005644,0.005644,0.005644
46,14331.8,0.82491,1.05164,1.25708,0.76447,0.75065,0.77849,0.64855,1.49763,1.51905,1.94748,0.005545,0.005545,0.005545
47,14641.6,0.82574,1.05479,1.25158,0.64794,0.76267,0.76784,0.63405,1.50623,1.50023,1.93113,0.005446,0.005446,0.005446
48,14986.1,0.82293,1.04178,1.24645,0.66925,0.72589,0.74056,0.60696,1.47063,1.48438,1.91033,0.005347,0.005347,0.005347
49,15295.6,0.82214,1.03095,1.24651,0.72156,0.74296,0.77551,0.65928,1.51841,1.50963,1.97661,0.005248,0.005248,0.005248
50,15625.3,0.81555,1.02358,1.24139,0.72219,0.77408,0.78236,0.67212,1.45263,1.46129,1.8957,0.005149,0.005149,0.005149
51,15934.3,0.80587,1.0099,1.23894,0.74282,0.70633,0.76954,0.63013,1.50232,1.4878,1.94548,0.00505,0.00505,0.00505
52,16257.5,0.80493,0.98995,1.23705,0.77299,0.73311,0.79563,0.65091,1.49406,1.48258,1.91392,0.004951,0.004951,0.004951
53,16566.9,0.80429,0.99329,1.23781,0.70555,0.75825,0.76073,0.62539,1.53953,1.45245,1.96169,0.004852,0.004852,0.004852
54,16898.4,0.79365,0.98498,1.23094,0.72467,0.78676,0.75998,0.63535,1.51136,1.40489,1.9543,0.004753,0.004753,0.004753
55,17206.1,0.79164,0.96687,1.2275,0.75251,0.71746,0.77859,0.63951,1.53275,1.43038,1.98231,0.004654,0.004654,0.004654
56,17523.8,0.79892,0.96732,1.23071,0.71558,0.77362,0.79377,0.67303,1.4968,1.42684,1.93942,0.004555,0.004555,0.004555
57,17836.1,0.78656,0.95287,1.22672,0.66553,0.79237,0.77782,0.66394,1.52447,1.44997,1.9671,0.004456,0.004456,0.004456
58,18148.7,0.77703,0.94079,1.21885,0.70146,0.76726,0.77856,0.65295,1.52061,1.40039,1.96681,0.004357,0.004357,0.004357
59,18465.9,0.78004,0.94629,1.22407,0.67784,0.80758,0.78529,0.66197,1.48111,1.40559,1.87941,0.004258,0.004258,0.004258
60,18792.8,0.77102,0.92267,1.2102,0.77831,0.77472,0.79969,0.67346,1.479,1.38371,1.87686,0.004159,0.004159,0.004159
61,19104.1,0.77744,0.9188,1.21638,0.73584,0.7268,0.78799,0.65902,1.48018,1.46938,1.98213,0.00406,0.00406,0.00406
62,19425,0.76133,0.90964,1.20519,0.76048,0.72664,0.78107,0.67254,1.49027,1.4405,1.96536,0.003961,0.003961,0.003961
63,19734.2,0.7669,0.89712,1.21001,0.72502,0.75968,0.8112,0.6977,1.51302,1.45395,1.98188,0.003862,0.003862,0.003862
64,20059.7,0.75816,0.9024,1.20266,0.69292,0.80372,0.80646,0.68779,1.5412,1.42114,2.00576,0.003763,0.003763,0.003763
